problem,direction,iteration,calls,f,gap
maxq,gradient,149,537,0.06360313359013849,0.06360313359013849
maxq,gradient,150,539,0.0604915374922587,0.0604915374922587
maxq,gradient,151,546,0.06034527074165193,0.06034527074165193
maxq,gradient,152,547,0.05974502040518182,0.05974502040518182
maxq,gradient,153,550,0.059393257879572045,0.059393257879572045
maxq,gradient,154,553,0.040939403412056576,0.040939403412056576
maxq,gradient,155,560,0.04078092229773516,0.04078092229773516
maxq,gradient,156,561,0.04008375076263411,0.04008375076263411
maxq,gradient,157,564,0.03830594140912167,0.03830594140912167
maxq,gradient,158,565,0.03819956593586285,0.03819956593586285
maxq,gradient,159,569,0.03393001502423569,0.03393001502423569
maxq,gradient,160,576,0.03391916055043239,0.03391916055043239
maxq,gradient,161,577,0.029046691256569987,0.029046691256569987
maxq,gradient,162,579,0.02710755826697601,0.02710755826697601
maxq,gradient,163,584,0.026712471782308532,0.026712471782308532
maxq,gradient,164,587,0.02555924019810308,0.02555924019810308
maxq,gradient,165,592,0.024336682935364784,0.024336682935364784
maxq,gradient,166,593,0.023602575565437968,0.023602575565437968
maxq,gradient,167,594,0.01733245116646954,0.01733245116646954
maxq,gradient,168,597,0.016429186355573548,0.016429186355573548
maxq,gradient,169,601,0.016082839422918344,0.016082839422918344
maxq,gradient,170,607,0.01599722769550809,0.01599722769550809
maxq,gradient,171,613,0.01572562621677601,0.01572562621677601
maxq,gradient,172,614,0.015099913307069392,0.015099913307069392
maxq,gradient,173,617,0.010960780893505082,0.010960780893505082
maxq,gradient,174,618,0.00954237106969539,0.00954237106969539
maxq,gradient,175,621,0.009476640387143142,0.009476640387143142
maxq,gradient,176,624,0.009426255515760606,0.009426255515760606
maxq,gradient,177,627,0.008487432519680194,0.008487432519680194
maxq,gradient,178,631,0.007644461570614929,0.007644461570614929
maxq,gradient,179,637,0.00727092619217107,0.00727092619217107
maxq,gradient,180,638,0.005058370973637906,0.005058370973637906
maxq,gradient,181,640,0.0030748071648706303,0.0030748071648706303
maxq,gradient,182,642,0.003011457666051294,0.003011457666051294
maxq,gradient,183,646,0.0029646377763558407,0.0029646377763558407
maxq,gradient,184,649,0.0028698978270785547,0.0028698978270785547
maxq,gradient,185,652,0.002722793412157139,0.002722793412157139
maxq,gradient,186,653,0.0025143361826565273,0.0025143361826565273
maxq,gradient,187,655,0.0023341612220977707,0.0023341612220977707
maxq,gradient,188,659,0.0019412699598746932,0.0019412699598746932
maxq,gradient,189,665,0.0018884067028989498,0.0018884067028989498
maxq,gradient,190,671,0.0018467276037182384,0.0018467276037182384
maxq,gradient,191,674,0.0018376887496250854,0.0018376887496250854
maxq,gradient,192,678,0.0018289297327453032,0.0018289297327453032
maxq,gradient,193,679,0.001788113934517704,0.001788113934517704
maxq,gradient,194,681,0.001651596991078866,0.001651596991078866
maxq,gradient,195,687,0.0016205274727505157,0.0016205274727505157
maxq,gradient,196,689,0.0014043445430728994,0.0014043445430728994
maxq,gradient,197,694,0.0013594818531725316,0.0013594818531725316
maxq,gradient,198,704,0.0013584301262513899,0.0013584301262513899
maxq,gradient,199,711,0.0012458920289088384,0.0012458920289088384
maxq,gradient,200,715,0.001233328634764762,0.001233328634764762
maxq,gradient,201,718,0.0011405104360627488,0.0011405104360627488
maxq,gradient,202,722,0.0010066472207338935,0.0010066472207338935
maxq,gradient,203,728,0.0009273397772390945,0.0009273397772390945
maxq,gradient,204,729,0.0007705052278340747,0.0007705052278340747
maxq,gradient,205,731,0.0006507754202901575,0.0006507754202901575
maxq,gradient,206,734,0.0005905928770940595,0.0005905928770940595
maxq,gradient,207,737,0.000560346164429355,0.000560346164429355
maxq,gradient,208,739,0.0005457013445277929,0.0005457013445277929
maxq,gradient,209,749,0.0005455826734159839,0.0005455826734159839
maxq,gradient,210,759,0.0004807117570937026,0.0004807117570937026
maxq,gradient,211,760,0.0004780802319473754,0.0004780802319473754
maxq,gradient,212,768,0.0004730603230104298,0.0004730603230104298
