f,violation,stationarity,complementarity,dual_min,f_gap,y_inf,y_rel,iteration,problem,method,config,diverged,primal_lr
-93.55165701911636,0.0892651302735401,6.571593347715066e-05,0.10058367087954295,0.6012494331972588,-0.21835746520457633,0.7076079295220022,0.3221292218990013,20000,qp_active,nuPI (rho=0),"ki=0.0003, kp=0.0003",False,0.025472576427598502
-93.55203840251457,0.08923535317803122,6.589369451859284e-05,0.10052237038879915,0.6014575086395706,-0.2187388486027828,0.7073998540796904,0.32244496566173964,20000,qp_active,nuPI (rho=0),"ki=0.0003, kp=0.003",False,0.025472576427598502
-93.35485535549346,0.012466111525693435,7.159519814337045e-06,0.02286547629345724,0.7348802002065461,-0.021555801581669698,0.5739771625127149,0.2202931351105827,20000,qp_active,nuPI (rho=0),"ki=0.001, kp=0",False,0.025472576427598502
-93.354885716961,0.012491487138253987,7.173312242869656e-06,0.02292237204395808,0.7336798481327248,-0.02158616304920713,0.5751775145865362,0.220755174365208,20000,qp_active,nuPI (rho=0),"ki=0.001, kp=0.001",False,0.025472576427598502
-93.35500956307455,0.012493486992184444,7.227730145942246e-06,0.022996278160844194,0.732369903917417,-0.021710009162760002,0.576487458801844,0.22130946345639427,20000,qp_active,nuPI (rho=0),"ki=0.001, kp=0.01",False,0.025472576427598502
-93.34188385905814,0.005255395887730607,1.0324777706571808e-05,0.008133877250914965,1.0830832009736788,-0.008584305146356996,0.22577416174558218,0.08597086883301046,20000,qp_active,nuPI (rho=0),"ki=0.003, kp=0",False,0.025472576427598502
-93.34193112486683,0.005289030227062064,1.0390127098247603e-05,0.008189934064154409,1.0816382127058197,-0.008631570955046186,0.22721915001344128,0.08652109695917258,20000,qp_active,nuPI (rho=0),"ki=0.003, kp=0.003",False,0.025472576427598502
-93.34199349095572,0.00533346298326709,1.0470774029158747e-05,0.008264100363090993,1.079728620710296,-0.008693937043929623,0.22912874200896494,0.087248268131778,20000,qp_active,nuPI (rho=0),"ki=0.003, kp=0.03",False,0.025472576427598502
-93.3336605401932,0.0001949403761951629,1.2771694173352444e-06,0.0002795368516561113,1.2669179039483442,-0.00036098628140734945,0.008372845723061184,0.0031882605210003944,20000,qp_active,nuPI (rho=0),"ki=0.01, kp=0",False,0.025472576427598502
-93.33366867204364,0.00019935225163614234,1.3057699517204924e-06,0.00028588306981445474,1.2668518438141831,-0.00036911813185724895,0.008562339894803594,0.003260417193650077,20000,qp_active,nuPI (rho=0),"ki=0.01, kp=0.01",False,0.025472576427598502
-93.33368247921035,0.00020684533144699202,1.3520154249491156e-06,0.00029666341041950726,1.266739646232824,-0.00038292529856676083,0.008884179099523992,0.0033829688733051713,20000,qp_active,nuPI (rho=0),"ki=0.01, kp=0.1",False,0.025472576427598502
-93.33329958309567,1.5687350973792036e-08,3.086881861236179e-10,2.2427228516082037e-08,1.2698365507691618,-2.9183880201344437e-08,6.733929396318672e-07,2.5642643235839865e-07,20000,qp_active,nuPI (rho=0),"ki=0.03, kp=0",False,0.025472576427598502
-93.33329958546669,1.6961860360709125e-08,3.3353231287946983e-10,2.4249313170572734e-08,1.2698365316983555,-3.155490446715703e-08,7.281027745165147e-07,2.772597984450399e-07,20000,qp_active,nuPI (rho=0),"ki=0.03, kp=0.03",False,0.025472576427598502
-93.33329959145509,2.0180834781058365e-08,3.943458892763374e-10,2.8851270626328522e-08,1.2698364835305236,-3.7543301800724294e-08,8.662848201002049e-07,3.2987909502024174e-07,20000,qp_active,nuPI (rho=0),"ki=0.03, kp=0.3",False,0.025472576427598502
-93.33329955391181,8.881784197001252e-16,1.7763568394002505e-15,1.6547831586682236e-15,1.26983678550078,-2.842170943040401e-14,6.17284001691587e-14,2.3292419419722574e-14,20000,qp_active,nuPI (rho=0),"ki=0.1, kp=0",False,0.025472576427598502
-93.33329955391184,1.3322676295501878e-15,1.7763568394002505e-15,2.6331767725410363e-15,1.2698367855007846,-5.684341886080802e-14,4.618527782440651e-14,1.7172921949295557e-14,20000,qp_active,nuPI (rho=0),"ki=0.1, kp=0.1",False,0.025472576427598502
-93.33329955391181,8.881784197001252e-16,1.7763568394002505e-15,1.654783158668224e-15,1.2698367855007797,-2.842170943040401e-14,6.061817714453355e-14,2.2923554400019976e-14,20000,qp_active,nuPI (rho=0),"ki=0.1, kp=1",False,0.025472576427598502
-93.3332995539118,0.0,3.552713678800501e-15,0.0,1.2698367855008044,-1.4210854715202004e-14,1.2878587085651816e-14,4.956408535512217e-15,20000,qp_active,nuPI (rho=0),"ki=0.3, kp=0",False,0.025472576427598502
-93.33329955391184,4.440892098500626e-16,7.105427357601002e-15,8.777255908470093e-16,1.2698367855007877,-5.684341886080802e-14,3.774758283725532e-14,1.3578270495818089e-14,20000,qp_active,nuPI (rho=0),"ki=0.3, kp=0.3",False,0.025472576427598502
-93.3332995539118,0.0,3.552713678800501e-15,0.0,1.2698367855007988,-1.4210854715202004e-14,4.6629367034256575e-15,1.5196341800134134e-15,20000,qp_active,nuPI (rho=0),"ki=0.3, kp=3",False,0.025472576427598502
-93.3332995539118,0.0,8.881784197001252e-16,0.0,1.2698367855008064,-1.4210854715202004e-14,1.4654943925052066e-14,5.594474713298115e-15,20000,qp_active,nuPI (rho=0),"ki=1, kp=0",False,0.025472576427598502
